1, 0
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 0
9, 1
10, 1
11, 0
12, 1
13, 1
14, 1
15, 0
16, 1
17, 1
18, 0
19, 0
20, 0
21, 1
22, 1
23, 0
24, 0
25, 1
26, 1
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 1
34, 0
35, 0
36, 1
37, 1
38, 0
39, 0
40, 1
41, 1
42, 0
43, 1
44, 1
45, 0
46, 0
47, 0
48, 1
49, 0
50, 1
51, 1
52, 1
53, 1
54, 1
55, 1
56, 1
57, 0
58, 1
59, 1
60, 1
61, 1
62, 1
63, 1
64, 1
65, 1
66, 1
67, 1
68, 1
69, 1
70, 1
71, 1
72, 1
73, 0
74, 1
75, 1
76, 1
77, 1
78, 0
79, 1
80, 1
81, 1
82, 1
83, 1
84, 0
85, 1
86, 1
87, 1
88, 1
89, 0
90, 1
91, 1
92, 1
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 1
100, 1
101, 0
102, 1
103, 1
104, 1
105, 0
106, 1
107, 1
108, 1
109, 0
110, 0
111, 0
112, 0
113, 1
114, 1
115, 0
116, 1
117, 1
118, 0
119, 1
120, 1
121, 1
122, 1
123, 1
124, 0
125, 1
126, 0
127, 1
128, 1
129, 0
130, 0
131, 1
132, 1
133, 1
134, 1
135, 1
136, 1
137, 1
138, 1
139, 1
140, 1
141, 1
142, 1
143, 0
144, 1
145, 0
146, 1
147, 1
148, 1
149, 0
150, 0
151, 0
152, 1
153, 1
154, 1
155, 0
156, 0
157, 1
158, 0
159, 1
160, 0
161, 1
162, 0
163, 1
164, 1
165, 0
166, 1
167, 1
168, 0
169, 0
170, 0
171, 1
172, 1
173, 1
174, 1
175, 1
176, 0
177, 0
178, 1
179, 1
180, 1
181, 1
182, 0
183, 0
184, 0
185, 1
186, 1
187, 0
188, 1
189, 1
190, 1
191, 1
192, 1
193, 1
194, 1
195, 1
196, 0
197, 1
198, 1
199, 1
200, 1
201, 1
202, 1
203, 1
204, 1
205, 1
206, 1
207, 1
208, 1
209, 1
210, 0
211, 1
212, 1
213, 1
214, 1
215, 1
216, 1
217, 1
218, 0
219, 1
220, 1
221, 1
222, 0
223, 1
224, 1
225, 1
226, 1
227, 0
228, 1
229, 1
230, 0
231, 1
232, 1
233, 1
234, 1
235, 1
236, 0
237, 1
238, 1
239, 0
240, 1
241, 1
242, 1
243, 0
244, 1
245, 1
246, 1
247, 0
248, 0
249, 1
250, 1
251, 0
252, 0
253, 1
254, 1
255, 1
256, 0
257, 1
258, 1
259, 1
260, 1
261, 0
262, 0
263, 1
264, 1
265, 1
266, 1
267, 0
268, 1
269, 1
270, 1
271, 1
272, 0
273, 0
274, 1
275, 1
276, 1
277, 1
278, 1
279, 1
280, 0
281, 1
282, 1
283, 0
284, 1
285, 0
286, 1
287, 1
288, 1
289, 1
290, 0
291, 0
292, 1
293, 1
294, 1
295, 0
296, 0
297, 1
298, 1
299, 1
300, 0
301, 0
302, 0
303, 0
304, 1
305, 1
306, 0
307, 0
308, 1
309, 1
310, 1
311, 1
312, 1
313, 1
314, 1
315, 0
316, 1
317, 1
318, 1
319, 1
320, 0
321, 0
322, 1
323, 1
324, 0
325, 0
326, 0
327, 0
328, 1
329, 1
330, 1
331, 1
332, 1
333, 1
334, 0
335, 1
336, 1
